"entity_id","entity_name","year","pitches","all_violations","pitcher_timer","batter_timer","batter_timeout","catcher_timer","defensive_shift"
121,"Mets",2023,48142,55,36,16,0,2,1
139,"Rays",2023,47573,52,36,13,3,0,0
134,"Pirates",2023,48142,51,41,10,0,0,0
146,"Marlins",2023,47626,46,29,16,1,0,0
135,"Padres",2023,49046,46,30,13,1,1,1
108,"Angels",2023,48925,42,34,8,0,0,0
117,"Astros",2023,51255,41,27,12,2,0,0
147,"Yankees",2023,47597,41,37,4,0,0,0
143,"Phillies",2023,51731,39,25,13,1,0,0
158,"Brewers",2023,48730,39,28,10,1,0,0
114,"Guardians",2023,47501,39,30,9,0,0,0
137,"Giants",2023,47229,39,30,8,0,1,0
120,"Nationals",2023,47810,36,18,17,0,1,0
142,"Twins",2023,49924,36,22,12,0,2,0
144,"Braves",2023,49879,36,24,10,1,1,0
109,"D-backs",2023,52478,34,21,13,0,0,0
111,"Red Sox",2023,48491,33,20,12,0,1,0
141,"Blue Jays",2023,48749,33,24,7,0,2,0
138,"Cardinals",2023,48359,33,30,2,1,0,0
133,"Athletics",2023,48521,32,22,10,0,0,0
112,"Cubs",2023,48386,32,24,8,0,0,0
113,"Reds",2023,49395,31,22,8,1,0,0
140,"Rangers",2023,53100,31,22,9,0,0,0
115,"Rockies",2023,47497,31,23,7,1,0,0
118,"Royals",2023,47033,29,19,9,0,1,0
119,"Dodgers",2023,49323,26,14,11,0,0,1
116,"Tigers",2023,47642,26,16,8,1,1,0
145,"White Sox",2023,48134,26,21,3,0,1,1
110,"Orioles",2023,49096,25,22,3,0,0,0
136,"Mariners",2023,47810,15,6,6,2,1,0
