"entity_id","entity_name","year","pitches","all_violations","pitcher_timer","batter_timer","batter_timeout","catcher_timer","defensive_shift"
109,"D-backs",2023,52478,49,40,8,1,0,0
136,"Mariners",2023,47810,47,39,8,0,0,0
119,"Dodgers",2023,49323,45,36,8,1,0,0
144,"Braves",2023,49879,42,27,11,2,2,0
158,"Brewers",2023,48730,41,30,11,0,0,0
134,"Pirates",2023,48142,41,31,6,1,2,1
117,"Astros",2023,51255,40,21,18,0,1,0
146,"Marlins",2023,47626,40,32,7,0,1,0
115,"Rockies",2023,47497,39,19,19,1,0,0
121,"Mets",2023,48142,39,28,11,0,0,0
135,"Padres",2023,49046,39,33,5,0,1,0
147,"Yankees",2023,47597,37,29,6,1,0,1
143,"Phillies",2023,51731,36,22,13,1,0,0
120,"Nationals",2023,47810,36,26,9,1,0,0
112,"Cubs",2023,48386,35,21,13,1,0,0
113,"Reds",2023,49395,35,23,12,0,0,0
111,"Red Sox",2023,48491,35,26,9,0,0,0
108,"Angels",2023,48925,35,26,9,0,0,0
138,"Cardinals",2023,48359,34,22,11,0,1,0
141,"Blue Jays",2023,48749,34,23,10,0,1,0
114,"Guardians",2023,47501,34,23,10,1,0,0
145,"White Sox",2023,48134,33,21,8,2,2,0
110,"Orioles",2023,49096,33,23,9,1,0,0
140,"Rangers",2023,53100,31,20,11,0,0,0
137,"Giants",2023,47229,31,22,5,1,1,2
118,"Royals",2023,47033,30,19,10,0,1,0
142,"Twins",2023,49924,28,15,13,0,0,0
116,"Tigers",2023,47642,27,21,5,0,1,0
133,"Athletics",2023,48521,26,19,6,0,1,0
139,"Rays",2023,47573,23,16,6,1,0,0
