Season,Team,TG,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,S
2022,LAD,162,111,51,2.8,725,162,1,1,43,90,18,1451.1,5865,1114,513,451,152,407,13,75,38,3,1465
2022,HOU,162,106,56,2.9,642,162,3,1,53,102,16,1445.1,5856,1121,518,465,134,458,6,60,56,6,1524
2023,ATL,162,104,58,4.14,694,162,1,1,52,100,26,1440,6135,1341,716,662,187,534,14,70,56,8,1516
2022,ATL,162,101,61,3.46,680,162,1,1,55,114,28,1448,6031,1224,609,556,148,500,21,62,55,4,1554
2022,NYM,162,101,61,3.58,645,162,0,0,41,76,15,1438.2,5950,1274,606,573,169,428,13,71,35,2,1565
2023,BAL,162,101,61,3.91,722,162,0,0,49,106,29,1453.2,6098,1334,678,631,177,473,16,63,64,7,1431
2023,LAD,162,100,62,4.06,713,162,0,0,44,85,16,1446.1,6018,1284,699,652,200,454,20,73,49,4,1388
2022,NYY,162,99,63,3.3,669,162,1,1,47,80,21,1451.2,5938,1177,567,533,157,444,10,65,40,5,1459
2023,TBR,162,99,63,3.87,698,162,0,0,45,77,29,1442,5994,1258,665,620,177,439,10,63,65,1,1507
2022,STL,162,93,69,3.79,628,162,3,1,37,65,16,1435.2,6014,1335,637,605,146,489,11,60,43,3,1177
2022,CLE,162,92,70,3.47,669,162,1,0,51,61,17,1456,5989,1252,634,562,172,435,14,57,49,2,1390
2022,TOR,162,92,70,3.89,746,162,0,0,46,91,23,1441.1,6053,1356,679,623,180,424,15,76,29,5,1390
2023,MIL,162,92,70,3.73,680,162,1,1,46,103,25,1443,5990,1218,647,598,198,493,7,60,54,8,1425
2022,SEA,162,90,72,3.59,698,162,0,0,40,91,15,1447,5986,1277,623,577,186,447,24,56,45,0,1391
2023,TEX,162,90,72,4.28,629,162,3,1,30,79,33,1436.1,6025,1330,716,683,198,491,19,59,46,4,1351
2023,HOU,162,90,72,3.94,675,162,2,2,42,86,18,1445.1,6110,1312,698,633,201,537,6,75,37,5,1460
2023,PHI,162,90,72,4.03,685,162,1,1,45,87,25,1442.1,6074,1318,715,646,185,470,6,54,35,7,1454
2022,SDP,162,89,73,3.81,649,162,0,0,48,70,22,1443.1,6047,1263,660,611,173,468,6,88,54,5,1451
2023,TOR,162,89,73,3.79,712,162,1,1,51,105,18,1451.2,6100,1326,671,611,198,488,29,62,42,12,1528
2023,SEA,162,88,74,3.74,712,162,2,1,44,96,19,1449.1,6006,1300,659,602,184,421,22,57,41,4,1459
2022,PHI,162,87,75,3.98,678,162,3,1,42,87,18,1428.1,6006,1330,685,631,150,463,16,68,47,3,1423
2023,MIN,162,87,75,3.87,650,162,2,2,38,78,28,1451.1,6028,1294,659,624,194,443,16,63,51,1,1560
2022,TBR,162,86,76,3.41,734,162,0,0,44,106,33,1435.2,5930,1260,614,544,172,384,15,66,54,4,1384
2022,MIL,162,86,76,3.83,710,162,0,0,52,103,29,1446,6057,1238,688,615,190,521,12,67,47,4,1530
2023,ARI,162,84,78,4.48,709,162,1,1,44,76,26,1435.1,6100,1375,761,715,197,525,13,48,40,8,1351
2023,MIA,162,84,78,4.21,706,162,3,1,43,90,28,1435.1,6091,1340,723,672,191,514,20,71,38,9,1490
2022,BAL,162,83,79,3.97,703,162,2,1,46,79,11,1433.1,6058,1406,688,633,171,443,8,64,47,4,1214
2023,CHC,162,83,79,4.09,672,162,1,1,35,81,22,1435.1,6085,1328,723,653,179,513,5,64,57,6,1377
2023,NYY,162,82,80,3.97,665,162,3,3,44,82,18,1439.2,6078,1272,698,635,195,508,6,85,60,15,1439
2023,CIN,162,82,80,4.83,767,162,0,0,53,86,25,1439.1,6310,1426,821,773,222,613,13,81,48,7,1381
2023,SDP,162,82,80,3.73,669,162,0,0,36,83,28,1441,6082,1270,648,598,174,557,14,76,48,7,1445
2022,CHW,162,81,81,3.94,711,162,2,1,48,102,22,1447.2,6145,1330,717,633,166,533,15,51,64,6,1450
2022,SFG,162,81,81,3.86,738,162,1,0,39,74,20,1433,6070,1397,697,615,132,441,16,52,53,2,1370
2023,SFG,162,79,83,4.02,658,162,4,2,50,66,22,1434.2,6039,1395,719,641,173,403,22,71,60,12,1359
2022,BOS,162,78,84,4.53,738,162,5,2,39,87,27,1431,6167,1411,787,721,185,526,17,72,60,8,1346
2022,MIN,162,78,84,3.98,710,162,0,0,28,100,26,1437,6042,1320,684,636,184,468,19,66,50,4,1336
2023,BOS,162,78,84,4.52,676,162,0,0,43,67,15,1430,6168,1416,776,718,208,497,21,83,49,4,1423
2023,DET,162,78,84,4.24,697,162,0,0,41,100,22,1442.1,6073,1320,740,680,187,476,8,50,51,5,1374
2023,CLE,162,76,86,3.97,707,162,1,0,47,100,32,1444,6144,1352,697,637,173,534,9,51,61,10,1311
